Fecha,Metal,Precio
06/04/2001,COBRE (¢/lb),75.34
06/04/2001,ESTAÑO (¢/lb),224.98
06/04/2001,NIQUEL (¢/lb),284.86
06/04/2001,ORO (US$/ozt),258.45
06/04/2001,PLATA (US$/ozt),4.35
06/04/2001,PLOMO (¢/lb),22.09
06/04/2001,ZINC (¢/lb),44.57
09/04/2001,ALUMINIO (¢/lb),65.61
09/04/2001,COBRE (¢/lb),74.03
09/04/2001,ESTAÑO (¢/lb),223.62
09/04/2001,NIQUEL (¢/lb),279.64
09/04/2001,ORO (US$/ozt),259.95
09/04/2001,PLATA (US$/ozt),4.35
09/04/2001,PLOMO (¢/lb),21.59
09/04/2001,ZINC (¢/lb),43.77
10/04/2001,ALUMINIO (¢/lb),68.04
10/04/2001,COBRE (¢/lb),75.8
10/04/2001,ESTAÑO (¢/lb),224.3
10/04/2001,NIQUEL (¢/lb),292.79
10/04/2001,ORO (US$/ozt),256.85
10/04/2001,PLATA (US$/ozt),4.33
10/04/2001,PLOMO (¢/lb),22.05
10/04/2001,ZINC (¢/lb),44.29
11/04/2001,ALUMINIO (¢/lb),68.36
11/04/2001,COBRE (¢/lb),76.43
11/04/2001,ESTAÑO (¢/lb),224.3
11/04/2001,NIQUEL (¢/lb),291.21
11/04/2001,ORO (US$/ozt),258.08
11/04/2001,PLATA (US$/ozt),4.33
11/04/2001,PLOMO (¢/lb),22.18
11/04/2001,ZINC (¢/lb),44.18
12/04/2001,ALUMINIO (¢/lb),67.18
12/04/2001,COBRE (¢/lb),75.27
12/04/2001,ESTAÑO (¢/lb),223.39
12/04/2001,NIQUEL (¢/lb),292.79
12/04/2001,ORO (US$/ozt),259.33
12/04/2001,PLATA (US$/ozt),4.37
12/04/2001,PLOMO (¢/lb),21.77
12/04/2001,ZINC (¢/lb),44.07
17/04/2001,ALUMINIO (¢/lb),66.97
17/04/2001,COBRE (¢/lb),75.3
17/04/2001,ESTAÑO (¢/lb),222.03
17/04/2001,NIQUEL (¢/lb),294.84
17/04/2001,ORO (US$/ozt),261.35
17/04/2001,PLATA (US$/ozt),4.41
17/04/2001,PLOMO (¢/lb),21.73
17/04/2001,ZINC (¢/lb),43.91
18/04/2001,ALUMINIO (¢/lb),67.63
18/04/2001,COBRE (¢/lb),75.48
18/04/2001,ESTAÑO (¢/lb),222.26
18/04/2001,NIQUEL (¢/lb),295.29
18/04/2001,ORO (US$/ozt),259.48
18/04/2001,PLATA (US$/ozt),4.33
18/04/2001,PLOMO (¢/lb),21.73
